         3339922 function calls (3289371 primitive calls) in 34.692 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 Image.py:3354(register_extensions)
        3    0.000    0.000    0.000    0.000 Image.py:3376(register_decoder)
        1    0.000    0.000    0.000    0.000 Image.py:3464(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3500(Exif)
      700    0.001    0.000    0.003    0.000 Image.py:383(_getdecoder)
      700    0.001    0.000    0.002    0.000 Image.py:406(_getencoder)
        1    0.000    0.000    0.000    0.000 Image.py:441(_E)
        1    0.000    0.000    0.000    0.000 Image.py:484(Image)
      700    0.001    0.000    0.001    0.000 Image.py:500(__init__)
     2100    0.001    0.000    0.001    0.000 Image.py:513(__getattr__)
     1400    0.000    0.000    0.001    0.000 Image.py:519(width)
     1400    0.000    0.000    0.001    0.000 Image.py:523(height)
     6300    0.001    0.000    0.001    0.000 Image.py:527(size)
      700    0.001    0.000    0.100    0.000 Image.py:674(__array_interface__)
      700    0.003    0.000    0.097    0.000 Image.py:717(tobytes)
     1400    0.001    0.000    0.001    0.000 Image.py:819(load)
        1    0.000    0.000    0.000    0.000 Image.py:82(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:86(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
      700    0.007    0.000    0.088    0.000 ImageFile.py:149(load)
      700    0.001    0.000    0.001    0.000 ImageFile.py:222(<listcomp>)
      700    0.000    0.000    0.000    0.000 ImageFile.py:225(<lambda>)
      700    0.001    0.000    0.002    0.000 ImageFile.py:283(load_prepare)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:318(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:345(Parser)
      700    0.001    0.000    0.001    0.000 ImageFile.py:539(_safe_read)
        1    0.000    0.000    0.000    0.000 ImageFile.py:572(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:583(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:653(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:700(PyEncoder)
      700    0.000    0.000    0.000    0.000 ImageFile.py:74(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:84(ImageFile)
      700    0.002    0.000    0.022    0.000 ImageFile.py:87(__init__)
        1    0.000    0.000    0.000    0.000 ImageMode.py:16(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
       34    0.000    0.000    0.000    0.000 ImageMode.py:25(__init__)
      700    0.000    0.000    0.000    0.000 ImageMode.py:36(getmode)
        1    0.000    0.000    0.000    0.000 ImageOps.py:20(<module>)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
      700    0.000    0.000    0.000    0.000 JpegImagePlugin.py:332(_accept)
        1    0.000    0.000    0.003    0.003 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:341(JpegImageFile)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
        1    0.000    0.000    0.349    0.349 L1_calibrate.py:3(<module>)
      350    0.005    0.000   24.065    0.069 L1_calibrate.py:57(L1_calibrate)
        1    0.000    0.000    0.349    0.349 L1_calibration_functions.py:2(<module>)
      350    0.001    0.000    0.001    0.000 L1_calibration_functions.py:23(flip_image)
  1385494    0.846    0.000    0.846    0.000 L1_calibration_functions.py:280(inverse_model_table)
      200    0.895    0.004    1.741    0.009 L1_calibration_functions.py:297(lin_image_from_inverse_model_table)
      350    0.002    0.000    2.170    0.006 L1_calibration_functions.py:324(get_linearized_image)
      350    0.001    0.000    0.002    0.000 L1_calibration_functions.py:374(handle_bad_columns)
      350    0.010    0.000    1.938    0.006 L1_calibration_functions.py:408(flatfield_calibration)
      350    0.001    0.000    1.927    0.006 L1_calibration_functions.py:442(calculate_flatfield)
     2100    0.000    0.000    0.000    0.000 L1_calibration_functions.py:45(make_binary)
      350    0.198    0.001   10.836    0.031 L1_calibration_functions.py:472(subtract_dark)
      350    1.396    0.004   10.601    0.030 L1_calibration_functions.py:506(calculate_dark)
      350    0.004    0.000    1.509    0.004 L1_calibration_functions.py:559(bin_image_with_BC)
      700    0.014    0.000    3.430    0.005 L1_calibration_functions.py:583(meanbin_image_with_BC)
      350    0.044    0.000    2.198    0.006 L1_calibration_functions.py:656(get_true_image)
      700    0.029    0.000    0.077    0.000 L1_calibration_functions.py:68(combine_flags)
      350    2.152    0.006    2.153    0.006 L1_calibration_functions.py:707(binning_bc)
      350    6.870    0.020    6.872    0.020 L1_calibration_functions.py:750(desmear_true_image)
      350    0.001    0.000    0.001    0.000 L1_calibration_functions.py:792(calculate_time_per_row)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1068(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1079(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:120(Blend)
     1400    0.001    0.000    0.001    0.000 PngImagePlugin.py:152(_crc32)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:160(ChunkStream)
      700    0.000    0.000    0.000    0.000 PngImagePlugin.py:161(__init__)
     2100    0.003    0.000    0.006    0.000 PngImagePlugin.py:166(read)
      700    0.000    0.000    0.000    0.000 PngImagePlugin.py:191(close)
     1400    0.002    0.000    0.007    0.000 PngImagePlugin.py:198(call)
      700    0.001    0.000    0.002    0.000 PngImagePlugin.py:204(crc)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:252(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:274(PngInfo)
        1    0.000    0.000    0.001    0.001 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:358(PngStream)
      700    0.001    0.000    0.001    0.000 PngImagePlugin.py:359(__init__)
      700    0.001    0.000    0.003    0.000 PngImagePlugin.py:423(chunk_IHDR)
      700    0.001    0.000    0.001    0.000 PngImagePlugin.py:442(chunk_IDAT)
     1400    0.000    0.000    0.000    0.000 PngImagePlugin.py:700(_accept)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:708(PngImageFile)
      700    0.004    0.000    0.019    0.000 PngImagePlugin.py:713(_open)
      700    0.001    0.000    0.003    0.000 PngImagePlugin.py:919(load_prepare)
      700    0.001    0.000    0.001    0.000 PngImagePlugin.py:928(load_read)
      700    0.002    0.000    0.004    0.000 PngImagePlugin.py:961(load_end)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:99(Disposal)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:147(PpmPlainDecoder)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:275(PpmDecoder)
      700    0.000    0.000    0.000    0.000 PpmImagePlugin.py:45(_accept)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:53(PpmImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1050(TiffImageFile)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:138(<dictcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1886(AppendingTiffWriter)
      114    0.000    0.000    0.000    0.000 TiffImagePlugin.py:260(<genexpr>)
      700    0.000    0.000    0.000    0.000 TiffImagePlugin.py:272(_accept)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:303(IFDRational)
       26    0.000    0.000    0.000    0.000 TiffImagePlugin.py:388(_delegate)
        1    0.000    0.000    0.002    0.002 TiffImagePlugin.py:41(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:430(ImageFileDirectory_v2)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:665(_register_loader)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:666(decorator)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:676(_register_writer)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:677(decorator)
        9    0.000    0.000    0.000    0.000 TiffImagePlugin.py:683(_register_basic)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:951(ImageFileDirectory_v1)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      146    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:419(_populate)
        2    0.000    0.000    0.000    0.000 __about__.py:5(<module>)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
      132    0.004    0.000    1.696    0.013 __init__.py:1(<module>)
        7    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:106(NullHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:106(__version__)
     11/6    0.000    0.000    0.230    0.038 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:11(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1119(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:112(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:113(<listcomp>)
